iter	Passed	Remaining
201	252226	996420
202	253020	993384
203	254288	992225
204	255780	991928
205	257635	993021
206	258856	991656
207	259913	989670
208	260978	987724
209	262669	988138
210	263469	985202
211	265094	985352
212	266030	982938
213	267148	981207
214	268482	980271
215	269329	977567
216	270411	975723
217	271600	974274
218	273300	974647
219	274440	973015
220	275726	971904
221	277293	971775
222	278222	969412
223	279978	969926
224	281280	968856
225	282277	966737
226	283638	965871
227	284833	964436
228	286241	963721
229	287336	961951
230	288097	959079
231	289108	957048
232	290423	956027
233	292066	956081
234	293405	955128
235	294843	954494
236	296228	953682
237	297255	951717
238	298243	949637
239	299505	948433
240	301011	947999
241	301985	945888
242	302887	943564
243	304263	942719
244	305681	941999
245	306649	939893
246	308060	939148
247	309907	939720
248	311468	939408
249	312953	938860
250	314505	938505
251	316092	938242
252	317556	937607
253	318635	935834
254	319548	933581
255	321039	933022
256	322450	932221
257	323499	930373
258	324785	929211
259	325614	926747
260	326546	924590
261	327663	922961
262	328910	921699
263	330362	921009
264	331781	920222
265	332761	918221
266	333656	915993
267	335060	915165
268	335898	912795
269	337501	912505
270	338809	911409
271	340121	910325
272	341393	909131
273	342734	908122
274	344247	907561
275	345193	905508
276	346592	904643
277	347966	903710
278	349463	903093
279	350708	901823
280	351665	899812
281	353131	899108
282	354234	897478
283	355717	896809
284	357137	895977
285	358094	893985
286	359397	892858
287	360317	890783
288	361835	890190
289	363237	889305
290	364226	887411
291	365672	886631
292	367294	886269
293	368248	884298
294	369514	883076
295	370885	882106
296	371897	880283
297	372968	878603
298	374287	877509
299	375383	875894
300	376813	875057
301	377744	873065
302	378649	871018
303	380022	870050
304	381575	869490
305	382855	868307
306	384054	866936
307	385728	866635
308	386952	865322
309	388525	864782
310	389978	863971
311	390805	861777
312	391768	859888
313	393075	858757
314	394803	858539
315	396103	857388
316	397281	855973
317	398634	854932
318	399978	853873
319	400871	851851
320	401842	850003
321	403247	849073
322	404603	848037
323	405879	846834
324	406818	844930
325	407943	843416
326	409198	842172
327	410564	841156
328	411815	839902
329	412738	837984
330	414255	837272
331	415336	835678
332	416993	835239
333	418256	834008
334	419822	833379
335	421147	832266
336	422109	830441
337	423428	829318
338	424794	828286
339	425888	826724
340	427333	825843
341	429016	825418
342	430229	824083
343	431510	822879
344	432972	822020
345	434421	821132
346	435699	819918
347	436597	817993
348	437809	816659
349	438830	814970
350	439892	813363
351	441037	811910
352	442239	810563
353	443828	809925
354	445067	808643
355	446617	807926
356	447995	806893
357	448946	805094
358	450372	804146
359	451661	802953
360	453374	802509
361	454456	800948
362	455476	799278
363	456542	797694
364	457800	796447
365	458899	794923
366	459824	793103
367	460974	791673
368	462578	791021
369	463944	789960
370	465463	789154
371	466655	787794
372	468001	786694
373	469262	785450
374	470970	784950
375	472250	783734
376	473511	782487
377	475005	781621
378	476286	780406
379	477128	778472
380	478363	777183
381	479685	776035
382	480880	774682
383	482173	773486
384	483452	772268
385	484865	771262
386	486061	769910
387	487587	769081
388	488768	767705
389	489792	766086
390	491055	764841
391	492010	763118
392	493299	761915
393	494472	760534
394	495509	758944
395	497277	758474
396	498403	757021
397	499606	755686
398	500737	754243
399	502055	753083
400	503032	751412
401	504458	750412
402	505715	749162
403	506773	747616
404	508148	746538
405	509121	744871
406	510591	743933
407	511882	742730
408	513049	741350
409	514472	740337
410	516121	739648
411	517161	738085
412	518230	736565
413	519457	735271
414	520822	734171
415	522412	733386
416	523556	731974
417	524561	730370
418	526111	729524
419	527091	727888
420	528773	727220
421	530158	726140
422	531665	725227
423	532703	723672
424	534176	722709
425	535301	721274
426	536274	719637
427	537391	718196
428	538731	717052
429	539814	715568
430	541139	714404
431	542149	712825
432	543535	711742
433	544900	710631
434	546138	709352
435	547417	708126
436	549128	707457
437	550872	706826
438	552131	705571
439	553715	704728
440	554893	703368
441	555901	701793
442	557450	700902
443	558596	699503
444	560344	698856
445	561847	697899
446	562849	696321
447	563945	694861
448	564957	693299
449	566173	691989
450	567425	690724
451	568520	689268
452	569672	687882
453	570980	686686
454	572353	685565
455	573236	683861
456	574449	682551
457	575763	681361
458	577053	680143
459	578210	678768
460	579307	677325
461	580736	676268
462	581951	674963
463	583581	674137
464	584642	672652
465	585884	671378
466	587201	670189
467	588811	669332
468	590357	668400
469	591675	667209
470	593257	666312
471	594118	664607
472	595352	663321
473	596434	661865
474	597380	660262
475	598679	659050
476	599663	657492
477	600763	656063
478	601833	654604
479	603262	653534
480	604728	652503
481	606200	651476
482	607392	650148
483	608627	648867
484	609560	647264
485	610418	645586
486	611583	644234
487	612696	642829
488	613612	641218
489	614767	639860
490	616237	638829
491	617604	637688
492	618648	636216
493	619760	634815
494	620764	633305
495	621820	631849
496	623078	630600
497	624188	629202
498	625354	627861
499	626473	626473
500	627797	625290
501	629000	623988
502	630508	622987
503	631432	621409
504	632697	620169
505	633883	618850
506	635391	617845
507	636669	616616
508	638094	615529
509	639289	614219
510	640764	613178
511	642251	612145
512	643817	611187
513	645388	610231
514	646489	608830
515	647494	607339
516	648864	606192
