iter	MAE	RMSE
326	12.1201931	23.10593061
327	12.11968871	23.10366971
328	12.11817461	23.10190591
329	12.11750733	23.10014618
330	12.11660606	23.0984847
331	12.11496952	23.09667683
332	12.11401378	23.09485647
333	12.1125072	23.09338176
334	12.11150593	23.09165497
335	12.11048478	23.08962679
336	12.10977234	23.08789303
337	12.10915356	23.08648853
338	12.10842596	23.08471171
339	12.10691023	23.0830987
340	12.10622729	23.08105447
341	12.1051517	23.0793235
342	12.10394001	23.07781478
343	12.10311285	23.07611803
344	12.10185894	23.075069
345	12.1010233	23.07331882
346	12.10011422	23.07215705
347	12.09946595	23.07032162
348	12.09867166	23.06919775
349	12.09767285	23.06784136
350	12.09622285	23.06648753
351	12.09514951	23.06513635
352	12.09401974	23.06352218
353	12.093031	23.0619018
354	12.09207141	23.05983905
355	12.0915661	23.05833959
356	12.09045591	23.05680853
357	12.08977386	23.0549235
358	12.08899086	23.05328779
359	12.08789963	23.05136013
360	12.08724132	23.04974583
361	12.08610412	23.04808781
362	12.08554784	23.04606486
363	12.08456503	23.04472325
364	12.08376383	23.04317515
365	12.08287618	23.04169038
366	12.08251332	23.03894305
367	12.08138945	23.03739581
368	12.08101716	23.03586289
369	12.08008078	23.03438789
370	12.0788774	23.0327354
371	12.07844802	23.03123279
372	12.07741477	23.02950534
373	12.0766321	23.02833628
374	12.07605283	23.02658667
375	12.07456986	23.02524396
376	12.07322007	23.02403175
377	12.07268442	23.02277338
378	12.07217124	23.02111269
379	12.07154265	23.01910617
380	12.07057694	23.01709301
381	12.06993224	23.01534575
382	12.06890589	23.01377897
383	12.06847685	23.01262275
384	12.06738278	23.01153175
385	12.06682625	23.01032242
386	12.06596371	23.00937888
387	12.06520365	23.00713255
388	12.0641686	23.00598486
389	12.06369823	23.00453959
390	12.06259685	23.00351219
391	12.06190878	23.00212105
392	12.06133522	23.00084286
393	12.06045171	22.99965428
394	12.05982662	22.99786189
395	12.05960725	22.99672856
396	12.05902513	22.99514723
397	12.05838434	22.99401108
398	12.05723082	22.99297435
399	12.05640064	22.99123716
400	12.05569349	22.98956582
401	12.05448392	22.9880571
402	12.05342184	22.98635529
403	12.05246471	22.98548416
404	12.05176144	22.98390728
405	12.05113483	22.98199577
406	12.0507907	22.98100366
407	12.04988339	22.98009009
408	12.04937993	22.9785702
409	12.04853395	22.97744046
410	12.04741069	22.97574869
411	12.04664988	22.97411436
412	12.04590278	22.97308386
413	12.04490457	22.9720378
414	12.04393275	22.97048126
415	12.04266492	22.9692308
416	12.041746	22.96664853
417	12.04105901	22.96551793
418	12.04053035	22.96462059
419	12.03979803	22.9628605
420	12.03937893	22.96127278
421	12.03830683	22.95982126
422	12.038026	22.95852822
423	12.03704878	22.9573244
424	12.03636534	22.95636064
425	12.03566591	22.95485651
426	12.03518291	22.95333103
427	12.03448221	22.95173602
428	12.03385591	22.95084176
429	12.03354584	22.94985715
430	12.03286992	22.94885132
431	12.03197532	22.94783199
432	12.03181241	22.94678599
433	12.03137453	22.9452558
434	12.03062378	22.94433036
435	12.0299938	22.94273615
436	12.02914526	22.94081326
437	12.02880892	22.93941377
438	12.02830445	22.93817457
439	12.028016	22.93717429
440	12.02786207	22.9358264
441	12.0270438	22.93508171
442	12.02592109	22.9339499
443	12.02549404	22.93279276
444	12.02531027	22.93161783
445	12.02435959	22.93040184
446	12.02349943	22.9287604
447	12.02292344	22.92753979
448	12.02248499	22.92550408
449	12.02174195	22.92481365
450	12.0210878	22.92374784
451	12.02044505	22.92250531
452	12.02016176	22.92120003
453	12.01991339	22.91986008
454	12.01982827	22.91894805
455	12.01930659	22.91746507
456	12.01892069	22.91622659
457	12.01821036	22.91469161
458	12.0177158	22.91326479
459	12.01701383	22.9114159
460	12.016525	22.91044999
461	12.01622237	22.90918726
462	12.0157123	22.90800244
463	12.01533362	22.90674208
464	12.01489369	22.90531285
465	12.01398463	22.9039273
466	12.01364476	22.90242897
467	12.01370614	22.90151408
468	12.01333658	22.90011884
469	12.01272867	22.89922993
470	12.01226267	22.89826575
471	12.0117143	22.8974035
472	12.0113183	22.89671135
473	12.01050669	22.89578432
474	12.01001783	22.89480418
475	12.00954377	22.89396496
476	12.0093794	22.89268379
477	12.00892944	22.89102109
478	12.00874283	22.88961949
479	12.00800766	22.88855283
480	12.0078814	22.88725936
481	12.00723404	22.88635821
482	12.00682426	22.88570663
483	12.00625707	22.88431948
484	12.0059443	22.882356
485	12.00531889	22.88109867
486	12.00470859	22.88034245
487	12.00392572	22.87883494
488	12.00347543	22.87758123
489	12.00338749	22.87599917
490	12.00254448	22.87459937
491	12.00244727	22.87388347
492	12.00183236	22.87314246
493	12.00133879	22.87236812
494	12.00111519	22.87025803
495	12.00049558	22.86945991
496	11.99984671	22.86819024
497	11.99950183	22.8672523
498	11.99898866	22.86653635
499	11.99846445	22.86519829
500	11.9977218	22.86408009
501	11.99732148	22.86285243
502	11.9963881	22.86137923
503	11.99593792	22.86017474
504	11.99574525	22.85880991
505	11.99515813	22.85766651
506	11.99439324	22.85641357
507	11.99393479	22.85478978
508	11.99296565	22.85403824
509	11.99184524	22.85325593
510	11.99126104	22.85214515
511	11.99066888	22.85108675
512	11.99068267	22.85018051
513	11.99047552	22.84900854
514	11.9898426	22.84729032
515	11.98950541	22.84658673
516	11.98950302	22.84559182
